ID,TP,TN,FP,FN,RECALL,PRECISION,R0,R1,R2,R3,R4,R5,R6,R7,P0,P1,P2,P3,P4,P5,P6,P7
38,4,32,4,12,0.25,0.5,0.0625,0.125,0.1875,0.1875,0.1875,0.1875,0.25,0.25,1,1,1,0.75,0.6,0.5,0.5714286,0.5
39,3,35,5,9,0.25,0.375,0,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.16666667,0.25,0,0.5,0.33333334,0.25,0.2,0.16666667,0.2857143,0.375
40,2,36,6,8,0.2,0.25,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,1,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
42,3,26,5,18,0.14285715,0.375,0,0,0,0.04761905,0.04761905,0.0952381,0.0952381,0.14285715,0,0,0,0.25,0.2,0.33333334,0.2857143,0.375
43,4,7,4,37,0.09756097,0.5,0,0.024390243,0.024390243,0.024390243,0.048780486,0.048780486,0.07317073,0.09756097,0,0.5,0.33333334,0.25,0.4,0.33333334,0.42857143,0.5
44,2,29,6,15,0.11764706,0.25,0.05882353,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,1,1,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
45,4,22,4,22,0.15384616,0.5,0.03846154,0.03846154,0.07692308,0.07692308,0.07692308,0.115384616,0.115384616,0.15384616,1,0.5,0.6666667,0.5,0.4,0.5,0.42857143,0.5
48,1,33,7,11,0.083333336,0.125,0,0,0,0,0,0,0.083333336,0.083333336,0,0,0,0,0,0,0.14285715,0.125
49,2,38,6,6,0.25,0.25,0,0,0,0.125,0.125,0.125,0.25,0.25,0,0,0,0.25,0.2,0.16666667,0.2857143,0.25
57,1,44,7,0,1,0.125,1,1,1,1,1,1,1,1,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
58,4,18,4,26,0.13333334,0.5,0.033333335,0.033333335,0.033333335,0.06666667,0.06666667,0.06666667,0.1,0.13333334,1,0.5,0.33333334,0.5,0.4,0.33333334,0.42857143,0.5
59,5,6,3,38,0.11627907,0.625,0.023255814,0.046511628,0.069767445,0.093023255,0.093023255,0.093023255,0.11627907,0.11627907,1,1,1,1,0.8,0.6666667,0.71428573,0.625
60,5,22,3,22,0.18518518,0.625,0.037037037,0.074074075,0.11111111,0.11111111,0.11111111,0.11111111,0.14814815,0.18518518,1,1,1,0.75,0.6,0.5,0.5714286,0.625
61,6,19,2,25,0.19354838,0.75,0.032258064,0.06451613,0.06451613,0.09677419,0.12903225,0.12903225,0.16129032,0.19354838,1,1,0.6666667,0.75,0.8,0.6666667,0.71428573,0.75
62,0,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,7,39,1,5,0.5833333,0.875,0.083333336,0.16666667,0.25,0.33333334,0.41666666,0.5,0.5833333,0.5833333,1,1,1,1,1,1,1,0.875
64,1,44,7,0,1,0.125,1,1,1,1,1,1,1,1,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
