ID,TP,TN,FP,FN,RECALL,PRECISION,R0,R1,R2,R3,R4,R5,R6,R7,P0,P1,P2,P3,P4,P5,P6,P7
32,2,43,6,1,0.6666667,0.25,0.33333334,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1,1,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
33,1,44,7,0,1,0.125,1,1,1,1,1,1,1,1,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
36,4,28,4,16,0.2,0.5,0.05,0.1,0.15,0.2,0.2,0.2,0.2,0.2,1,1,1,1,0.8,0.6666667,0.5714286,0.5
37,2,34,6,10,0.16666667,0.25,0.083333336,0.083333336,0.083333336,0.083333336,0.16666667,0.16666667,0.16666667,0.16666667,1,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
38,5,33,3,11,0.3125,0.625,0.0625,0.0625,0.125,0.1875,0.1875,0.25,0.25,0.3125,1,0.5,0.6666667,0.75,0.6,0.6666667,0.5714286,0.625
39,3,35,5,9,0.25,0.375,0,0.083333336,0.083333336,0.16666667,0.16666667,0.16666667,0.16666667,0.25,0,0.5,0.33333334,0.5,0.4,0.33333334,0.2857143,0.375
40,5,39,3,5,0.5,0.625,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,1,0.5,0.33333334,0.5,0.6,0.6666667,0.5714286,0.625
42,3,26,5,18,0.14285715,0.375,0,0,0,0.04761905,0.0952381,0.0952381,0.0952381,0.14285715,0,0,0,0.25,0.4,0.33333334,0.2857143,0.375
43,3,6,5,38,0.07317073,0.375,0,0,0.024390243,0.048780486,0.048780486,0.048780486,0.048780486,0.07317073,0,0,0.33333334,0.5,0.4,0.33333334,0.2857143,0.375
44,2,29,6,15,0.11764706,0.25,0.05882353,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,1,1,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
45,5,23,3,21,0.1923077,0.625,0.03846154,0.03846154,0.03846154,0.03846154,0.07692308,0.115384616,0.15384616,0.1923077,1,0.5,0.33333334,0.25,0.4,0.5,0.5714286,0.625
